neighborhood,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
Goma Division,63381.20962238312,65328.55646383762,67156.84627312422,69545.21944540739,71742.69703483582,73888.7766906619,76237.8593004942,78507.87710613012,80885.02124351263,83492.84998118877,86122.86150431633,88842.58138269186,91626.29948437214,94620.6088732481,97836.63679713011,100832.27312350273,104120.2895899415,107304.01904827356,110867.81628322601,114152.02913659811,117828.0053614974
Gombe Division,29512.446722716093,31524.792236477137,33673.12800723314,35924.01437544823,38404.19245618582,41074.54548358917,43869.322294831276,46931.20121693611,50053.4087344408,53465.515663444996,57162.27079731226,60960.27648538351,65156.31233280897,69548.88992702961,74208.96494162083,79304.34587478638,84791.17643237114,90483.27834689617,96602.04127645493,103230.63827914,110203.47781157494
Kajjansi Town Council,38343.203937739134,40927.12535730004,43700.37430921197,46626.6193048656,49757.366516292095,53160.8782967031,56559.819112986326,60271.759081572294,64257.564909935,68712.61558130383,73284.43343740702,78130.77517959476,83392.53727978468,89059.18884152174,95062.59641820192,101480.81432318687,108191.09552931786,115552.73416435719,123352.32044923306,131689.24730229378,140618.92043042183
Kakiri,15966.266309022903,17127.558050125837,18231.12359201908,19451.854359030724,20733.161420166492,22226.04929947853,23698.127865731716,25295.182846724987,27038.673363119364,28923.87272119522,30875.272587299347,32993.85129478574,35354.05464363098,37388.05734282732,39821.19442546368,42547.492336153984,45492.05759358406,48543.96648609638,51817.525989472866,55366.449499964714,59141.09288221598
Kakiri Town Council,7675.355418235064,8153.988889068365,8772.823112100363,9373.77619189024,10033.638397753239,10640.115482211113,11381.707251548767,12114.682117402554,12935.730397224426,13788.351601839066,14741.249330163002,15727.679685235023,16739.85141634941,18056.4614610672,19306.553703188896,20569.515421628952,21956.803794264793,23428.140567064285,25000.258877038956,26634.90740084648,28397.663851976395
Kalagala,30688.881932258606,31884.64488250017,32678.902221679688,33477.96777868271,34364.16799688339,35337.31930094957,36256.28489238024,37170.72404414415,38080.57952082157,38999.12633138895,40028.460272967815,40956.93098992109,42059.455527186394,43223.42849355936,44292.95184749365,45468.98274254799,46663.209167063236,47766.084114432335,48993.141177654266,50258.64830482006,51520.95258682966
Kalamba,16002.776218861341,16926.179731965065,17123.1971616745,17284.833595752716,17519.50826790929,17759.050988405943,17998.539963424206,18228.326012283564,18474.432943314314,18668.273582726717,18875.920593947172,19123.029201745987,19383.138098448515,19627.999586701393,19849.31129515171,20081.339208960533,20289.33998900652,20595.291929006577,20864.149178504944,21131.393064916134,21394.42746424675
Kapeeka,17431.497678130865,18091.860957190394,18620.01605308056,19186.608265399933,19756.14582619071,20335.264961123466,20945.12880344689,21616.830503821373,22292.98150396347,22959.38169592619,23672.745421618223,24394.177189528942,25119.23501060903,25886.868153899908,26729.667529404163,27480.221553444862,28344.50911320746,29220.448797374964,30111.160580843687,31030.344820559025,31987.707040131092
Kasangati Town Council,62813.42184698582,66781.86096918583,71165.17655199766,75707.70197325945,80766.72906851768,85878.85891073942,91247.80055624247,96981.90422070026,103729.75043094158,110232.63522696495,117667.8835529089,126003.63498055935,134486.63502323627,144433.00817847252,154128.44193792343,164285.0457571745,174707.43817591667,186955.13599073887,199160.2612081766,212274.56386995316,226609.07285404205
Kasanje,12105.36452549696,13036.158216521144,13895.166252553463,14806.532694876194,15799.81786492467,16871.007590278983,18048.91057434678,19257.850680708885,20567.889565885067,21934.30441698432,23400.076769798994,24979.91359615326,26646.703376233578,28460.875494390726,30427.98872756958,32483.050222039223,34640.66495960951,36992.487635701895,39536.396438896656,42171.98177117109,45052.33891773224
