neighborhood,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024
Gombe Division,157956.39155752957,162971.68875282165,168951.99210213125,175166.65077801608,181713.88228235953,188704.34700812958,195656.55279054493,202833.32327636238,209493.383812787,216210.3462429624
Kajjansi Town Council,251416.1145574674,259211.13366583362,268345.26674750075,277716.157558769,287195.5393316727,297312.2378409114,307186.86639043316,317141.90549742803,326416.976200765,335620.9209077507
Kakiri,82172.00008496642,84691.06913080718,87618.03364288434,90629.09857456572,93824.59944162145,97176.82531022839,100615.69108277373,104122.3202570118,107453.37705778144,110850.37264172453
Kakiri Town Council,31883.19503221661,32857.73630885687,33995.02937057987,35160.73180446215,36404.70486323722,37693.13472826034,38969.39867866412,40266.51309614256,41483.70854898915,42706.793083393946
Kalagala,46012.9715789333,47476.3990037879,49186.732682690956,50901.89692775905,52629.174283856526,54468.16125494521,56271.57365205325,58099.64659661241,59769.089560091496,61450.863397830166
Kalamba,19226.9082743451,19830.718893988058,20536.48265390098,21254.677961608395,21974.885010555387,22738.61791875586,23479.62394687347,24229.90372598078,24919.785394566134,25620.025295165367
Kapeeka,21778.116203077137,22477.06708541233,23321.86744381953,24195.599839403294,25082.05416358635,26029.87444399949,26962.72069520969,27925.509107674472,28803.944384999573,29687.775649989955
Kasangati Town Council,290905.09200392663,300347.386996299,311434.817342028,322561.09964527935,333982.92538193613,346005.4859129861,357717.376311522,369816.4071780294,380774.73467215896,391782.410749767
Kasanje,82991.67897495627,85469.23958344012,88307.33973610215,91237.9917520266,94282.53142920882,97509.16314126365,100737.02906367462,104007.12551984936,107060.13366046548,110131.94897883572
Katabi  Town Council,177687.17607869953,183092.27830473334,189547.78216593433,196146.62957364134,202604.16807527095,209639.71044642013,216304.88851490524,222982.83335635252,229082.9749246668,235176.32456326112
Kawempe Division,244302.51085090637,252106.15384292603,261307.67476272583,270599.2950630188,280092.47355651855,289866.29806900024,299395.7378768921,309222.38646125793,318089.44250679016,327049.9246635437
Kawolo Division,42220.27040809393,43528.68968922645,45085.334447648376,46647.527781199664,48227.894091045484,49901.68388855737,51535.79930157401,53205.012041857466,54726.10415939987,56264.8573496202
Kikandwa,28077.186483167112,28962.966010687873,30014.77362809237,31082.065764063038,32165.58338496834,33324.722144107334,34455.98440733086,35613.383395130746,36669.89502493478,37742.65574004175
Kimenyedde,30052.54584120959,30985.42628982477,32076.590070010163,33164.46781470813,34264.028981240466,35398.67030131165,36522.004987533204,37659.18124590069,38682.12017117813,39715.68588582892
Kira Division,131951.80634393543,136310.85380969942,141474.25187839568,146718.86272940785,151997.52068060637,157685.78975685313,163121.83734654635,168750.94010873884,173821.81184330583,178940.18531561643
Kiringente,25573.27821087092,26384.91176878661,27344.751529984176,28327.64051712863,29309.115069194697,30345.92630266864,31365.447129555047,32416.157257076353,33372.30412187893,34337.363107702695
Kyampisi,56953.45039219409,58757.40979053825,60905.587680635974,63072.38231581729,65323.158710048534,67699.09409148246,70059.5541186966,72505.04152483959,74761.27000770997,77024.79044801183
Kyengera Town Council,339738.81680383533,350544.80724957585,363170.92490558326,375920.41177578084,388795.0431921836,402139.1394772222,415222.8124514241,428413.54403441027,440484.61710513383,452606.9868259784
Makindye Division,356039.4748583287,367074.102366738,380145.133542113,393365.6247081086,406506.8836506568,420572.27369610965,434160.3580317944,448011.3017095141,460660.37898395956,473427.20795030147
Makulubita,42124.816890105605,43430.17528939154,44939.25639432762,46449.63384745736,47967.941463178024,49577.40588769689,51182.648355657235,52815.09657498356,54309.345900670625,55823.875892171636
Masajja Division,132959.13413891196,137117.57923150808,142142.98364632577,147121.95866400003,151955.06171714514,156983.74235004187,161873.6619435381,166847.8731888421,171254.8292296566,175753.89199478552
Masese Walukuba,6306.914487801492,6511.558952711523,6746.721101082861,6998.692697651684,7244.577746145427,7502.852107532322,7745.606491066515,7986.664275147021,8205.233610637486,8421.808948032558
Masuliita,25078.353013552725,25828.028610493988,26702.637509243563,27590.616263927892,28538.371425163,29540.0950432159,30561.189676377922,31600.741879232228,32550.09991875291,33523.773671049625
Masulita Town Council,30737.58443426341,31662.272300044075,32759.46760467626,33869.16015862301,35038.321500634775,36263.90574239567,37506.925091557205,38775.433619512245,39939.44244951196,41126.06877593137
Mende,62242.52020651847,64181.58259572089,66539.10819636658,68930.38566132821,71480.10807602853,74183.01306545176,76976.67161068134,79850.18574463576,82521.59900690056,85254.73672934063
